Thu Nov 25 16:11:43 +0000 2021,"@stephanpalagan Querdenker vergleichen sich gerne mit Widerstandskämpfern im Nationalsozialismus. 

Könnt ihr euch eine Sophie Scholl vorstellen, die ein NSDAP-Mitgliedschaftsbuch fälscht, um einen Aperol Spritz im P1 zu trinken?

Wed Nov 24 12:05:47 +0000 2021,"@chris1308_wa @reitschuster Gutes Zitat, hat es aber von Sophie Scholl nie gegeben.",Norbert Schiller,Abrenuntiatio,"1,24163497967682E+018",[],"[{'screen_name': 'chris1308_wa', 'name': 'Christine Wa.', 'id': 1234822627191119872, 'id_str': '1234822627191119872', 'indices': [0, 13]}, {'screen_name': 'reitschuster', 'name': 'Boris Reitschuster', 'id': 36713389, 'id_str': '36713389', 'indices': [14, 27]}]"
Wed Nov 24 11:57:52 +0000 2021,@utta_philipp @aya_velazquez Jana aus Kassel halt. Fühlt sich auch als Sophie Scholl...,Lois Lane,LogicalWitch666,1202289763,[],"[{'screen_name': 'utta_philipp', 'name': 'Philipp Utta', 'id': 1292075772895801347, 'id_str': '1292075772895801347', 'indices': [0, 13]}, {'screen_name': 'aya_velazquez', 'name': 'Aya Velázquez', 'id': 1139480068428828673, 'id_str': '1139480068428828673', 'indices': [14, 28]}]"
Mon Nov 29 11:14:05 +0000 2021,"RT @dermildwuerzige: Kann ihm jemand die Nummer von der Frau geben, die sich auf dieser Demo als Sophie Scholl bezeichnet hat?",omikronbéton,nouveaubeton,1289180383108571136,[],"[{'screen_name': 'dermildwuerzige', 'name': '𝙵𝚎𝚕𝚒𝚡 𝙻𝚊𝚗𝚐𝚍ò𝚗 𝙰𝚕𝚐ê𝚛 ☭', 'id': 1374803720727367680, 'id_str': '1374803720727367680', 'indices': [3, 19]}]",de
Mon Nov 29 09:59:33 +0000 2021,"Kann ihm jemand die Nummer von der Frau geben, die sich auf dieser Demo als Sophie Scholl bezeichnet hat? https://t.co/Z6uVvGoYdC",𝙵𝚎𝚕𝚒𝚡 𝙻𝚊𝚗𝚐𝚍ò𝚗 𝙰𝚕𝚐ê𝚛 ☭,dermildwuerzige,1374803720727367680,[],[],de
Mon Nov 29 06:25:45 +0000 2021,"RT @DennisKBerlin: Hallo ihr Querdullis, ihr seid nicht wie Sophie Scholl.

Und Karl #Hilz schon gar nicht.

Und #JavidKistel dreimal nicht…",Marge for BOOSTER😷💉🤸‍♀️,aniho91,709415928409231360,"[{'text': 'Hilz', 'indices': [85, 90]}, {'text': 'JavidKistel', 'indices': [113, 125]}]","[{'screen_name': 'DennisKBerlin', 'name': 'DennisKBerlin 💉💉', 'id': 1037118426853126144, 'id_str': '1037118426853126144', 'indices': [3, 17]}]",de
Mon Nov 29 06:01:36 +0000 2021,"RT @DennisKBerlin: Hallo ihr Querdullis, ihr seid nicht wie Sophie Scholl.

Und Karl #Hilz schon gar nicht.

Und #JavidKistel dreimal nicht…",Landrätin der Herzen,KanzlerderS,1278033306420944902,"[{'text': 'Hilz', 'indices': [85, 90]}, {'text': 'JavidKistel', 'indices': [113, 125]}]","[{'screen_name': 'DennisKBerlin', 'name': 'DennisKBerlin 💉💉', 'id': 1037118426853126144, 'id_str': '1037118426853126144', 'indices': [3, 17]}]",de
Mon Nov 29 05:52:17 +0000 2021,"RT @Rafael_Narbona: No hay nada que dialogar con los que utilizan la violencia para segregar, intimidar o acallar. Frente al terrorismo o e…",Jose Antonio Almansa,rwild107,1173209653708242944,[],"[{'screen_name': 'Rafael_Narbona', 'name': 'Rafael_Narbona', 'id': 248322503, 'id_str': '248322503', 'indices': [3, 18]}]",es
Mon Nov 29 03:42:47 +0000 2021,"RT @Alemanniel: Rolf Kron (der, dem egal ist, ob man pädophil oder Nazi ist, Hauptsache man ist in der ""Bewegung"") meint, er wünsche sich,…",Tobias Rieper,FunSoulBrother,195423880,[],"[{'screen_name': 'Alemanniel', 'name': 'Mutti, frisch geboostert, privat im Lockdown', 'id': 309130178, 'id_str': '309130178', 'indices': [3, 14]}]",de
Mon Nov 29 03:25:30 +0000 2021,"@RabbiJill To say as Sophie Scholl, the young leader of the White Rose resistance said before her execution by the Nazi People’s Court “a little candle burns itself out just like a flaming torch does. I choose my own way to burn."" The lights of Hanukkah burn within me.",The Inglorius Padre Steve 🇺🇸🇩🇪🇪🇺⚾️⚽️🇮🇹🍻,padresteve,27364230,[],"[{'screen_name': 'RabbiJill', 'name': 'Rabbi Jill Zimmerman', 'id': 26306441, 'id_str': '26306441', 'indices': [0, 10]}]",en
Mon Nov 29 03:21:01 +0000 2021,I spent a couple days in Berlin in 2010 and the story of Sophie Scholl and her fellow resisters is the lesson that sticks with me the most to this day. https://t.co/n9V6JAg6gO,Laura Manos-Hey 🩸🦷🗽,LauraManos,419031265,[],[],en
Mon Nov 29 02:52:07 +0000 2021,RT @MikeStuchbery_: As a young woman compares herself to Nazi resistance fighter Sophie Scholl at a 'Querdenker' (Covid-denier) rally in Ha…,Dee Spencer Cizmadia,FederalFact,1686541891,[],"[{'screen_name': 'MikeStuchbery_', 'name': 'Mike Stuchbery 💀🍷', 'id': 2546258378, 'id_str': '2546258378', 'indices': [3, 18]}]",en
Mon Nov 29 02:46:20 +0000 2021,"RT @bradlander: 78 years ago, German students Sophie Scholl, Hans Scholl &amp; Cristoph Probst were executed for resistance to the Nazis.

Thei…",Frangell Basora,FrangellBasora,628666792,[],"[{'screen_name': 'bradlander', 'name': 'Brad Lander', 'id': 19170880, 'id_str': '19170880', 'indices': [3, 14]}]",en
Mon Nov 29 00:29:35 +0000 2021,"RT @BrittRooted: If you have never heard of Sophie Scholl and the White Rose movement, take 5 to read about this powerful resistance in the…",Marcos Montoya,MarkMonty2533,1458786481154236418,[],"[{'screen_name': 'BrittRooted', 'name': 'rooted.wings', 'id': 1221530747615379456, 'id_str': '1221530747615379456', 'indices': [3, 15]}]",en
Mon Nov 29 00:07:27 +0000 2021,"RT @bradlander: 78 years ago, German students Sophie Scholl, Hans Scholl &amp; Cristoph Probst were executed for resistance to the Nazis.

Thei…",Mike Darner,mikedarner,75449182,[],"[{'screen_name': 'bradlander', 'name': 'Brad Lander', 'id': 19170880, 'id_str': '19170880', 'indices': [3, 14]}]",en
Sun Nov 28 23:16:10 +0000 2021,"RT @bradlander: 78 years ago, German students Sophie Scholl, Hans Scholl &amp; Cristoph Probst were executed for resistance to the Nazis.

Thei…",Faiza 🌅,faiza_a20,1318422015695519746,[],"[{'screen_name': 'bradlander', 'name': 'Brad Lander', 'id': 19170880, 'id_str': '19170880', 'indices': [3, 14]}]",en
Sun Nov 28 23:11:07 +0000 2021,"RT @bradlander: 78 years ago, German students Sophie Scholl, Hans Scholl &amp; Cristoph Probst were executed for resistance to the Nazis.

Thei…",Alexis Grenell,agrenell,54032362,[],"[{'screen_name': 'bradlander', 'name': 'Brad Lander', 'id': 19170880, 'id_str': '19170880', 'indices': [3, 14]}]",en
Sun Nov 28 23:00:56 +0000 2021,"CN Antisemitismus

""All die Janas aus Kassel, die sich wie Sophie Scholl fühlen, alle, die sich gelbe „#Ungeimpft“-Sterne auf ihre Oberarme kleben, all die, die in der #Pandemie das neue 1933 sehen &amp; sich von einer „#Weltelite“ kontrolliert fühlen, eint ihr antisem. Gedankengut."" https://t.co/Ihh04STBNg",Denkreflex,denkreflex,1315300545075318784,"[{'text': 'Ungeimpft', 'indices': [103, 113]}, {'text': 'Pandemie', 'indices': [168, 177]}, {'text': 'Weltelite', 'indices': [220, 230]}]",[],de
Mon Nov 29 11:14:05 +0000 2021,"RT @dermildwuerzige: Kann ihm jemand die Nummer von der Frau geben, die sich auf dieser Demo als Sophie Scholl bezeichnet hat?",omikronbéton,nouveaubeton,1289180383108571136,[],"[{'screen_name': 'dermildwuerzige', 'name': '𝙵𝚎𝚕𝚒𝚡 𝙻𝚊𝚗𝚐𝚍ò𝚗 𝙰𝚕𝚐ê𝚛 ☭', 'id': 1374803720727367680, 'id_str': '1374803720727367680', 'indices': [3, 19]}]",de
Mon Nov 29 09:59:33 +0000 2021,"Kann ihm jemand die Nummer von der Frau geben, die sich auf dieser Demo als Sophie Scholl bezeichnet hat? https://t.co/Z6uVvGoYdC",𝙵𝚎𝚕𝚒𝚡 𝙻𝚊𝚗𝚐𝚍ò𝚗 𝙰𝚕𝚐ê𝚛 ☭,dermildwuerzige,1374803720727367680,[],[],de
Mon Nov 29 06:25:45 +0000 2021,"RT @DennisKBerlin: Hallo ihr Querdullis, ihr seid nicht wie Sophie Scholl.

Und Karl #Hilz schon gar nicht.

Und #JavidKistel dreimal nicht…",Marge for BOOSTER😷💉🤸‍♀️,aniho91,709415928409231360,"[{'text': 'Hilz', 'indices': [85, 90]}, {'text': 'JavidKistel', 'indices': [113, 125]}]","[{'screen_name': 'DennisKBerlin', 'name': 'DennisKBerlin 💉💉', 'id': 1037118426853126144, 'id_str': '1037118426853126144', 'indices': [3, 17]}]",de
